"REG_DATE","daily_visit"
"2022-09-28",26
"2022-09-29",24
"2022-09-30",22
"2022-10-01",22
"2022-10-02",63
"2022-10-03",35
"2022-10-04",30
"2022-10-05",37
"2022-10-06",22
"2022-10-07",18
"2022-10-08",29
"2022-10-09",40
"2022-10-10",37
"2022-10-11",29
"2022-10-12",17
"2022-10-13",21
"2022-10-14",12
"2022-10-15",19
"2022-10-16",54
"2022-10-17",26
"2022-10-18",34
"2022-10-19",12
"2022-10-20",27
"2022-10-21",14
"2022-10-22",22
"2022-10-23",38
"2022-10-24",26
"2022-10-25",23
"2022-10-26",21
"2022-10-27",24
"2022-10-28",18
"2022-10-29",15
"2022-10-30",44
"2022-10-31",35
"2022-11-01",21
"2022-11-02",30
"2022-11-03",27
"2022-11-04",19
"2022-11-05",27
"2022-11-06",59
"2022-11-07",62
"2022-11-08",46
"2022-11-09",46
"2022-11-10",37
"2022-11-11",39
"2022-11-12",20
"2022-11-13",92
"2022-11-14",60
"2022-11-15",49
"2022-11-16",132
"2022-11-17",91
"2022-11-18",33
"2022-11-19",60
"2022-11-20",70
"2022-11-21",74
"2022-11-22",60
"2022-11-23",66
"2022-11-24",51
"2022-11-25",38
"2022-11-26",57
"2022-11-27",76
"2022-11-28",50
"2022-11-29",54
"2022-11-30",62
"2022-12-01",47
"2022-12-02",31
"2022-12-03",43
"2022-12-04",53
"2022-12-05",51
"2022-12-06",28
"2022-12-07",38
"2022-12-08",30
"2022-12-09",25
"2022-12-10",37
"2022-12-11",41
"2022-12-12",34
"2022-12-13",24
"2022-12-14",21
"2022-12-15",23
"2022-12-16",14
"2022-12-17",18
"2022-12-18",32
"2022-12-19",26
"2022-12-20",21
"2022-12-21",25
"2022-12-22",23
"2022-12-23",18
"2022-12-24",13
"2022-12-25",17
"2022-12-26",18
"2022-12-27",18
"2022-12-28",24
"2022-12-29",17
"2022-12-30",16
"2022-12-31",18
"2023-01-01",26
"2023-01-02",23
"2023-01-03",16
"2023-01-04",6
"2023-01-05",14
"2023-01-06",22
"2023-01-07",5
"2023-01-08",22
"2023-01-09",16
"2023-01-10",21
"2023-01-11",13
"2023-01-12",21
"2023-01-13",11
"2023-01-14",10
"2023-01-15",36
"2023-01-16",11
"2023-01-17",15
"2023-01-18",15
"2023-01-19",21
"2023-01-20",9
"2023-01-21",13
"2023-01-22",16
"2023-01-23",22
"2023-01-24",16
"2023-01-25",8
"2023-01-26",7
"2023-01-27",8
"2023-01-28",17
"2023-01-29",14
"2023-01-30",17
"2023-01-31",16
"2023-02-01",14
"2023-02-02",11
"2023-02-03",21
"2023-02-04",18
"2023-02-05",20
"2023-02-06",17
"2023-02-07",16
"2023-02-08",15
"2023-02-09",15
"2023-02-10",4
"2023-02-11",15
"2023-02-12",17
"2023-02-13",14
"2023-02-14",24
"2023-02-15",19
"2023-02-16",4
"2023-02-17",5
"2023-02-18",20
"2023-02-19",21
"2023-02-20",16
"2023-02-21",11
"2023-02-22",45
"2023-02-23",22
